snapshot,tag,channel,published,asset,downloads
2026-09-19,v0.4.1270,stable,2026-09-14,vela-maps-v0.4.1270.apk,1650
2026-09-19,v0.4.1430,stable,2026-09-15,vela-maps-v0.4.1430.apk,2598
2026-09-19,v0.4.1502,prerelease,2026-09-16,vela-maps-v0.4.1502.apk,142
2026-09-19,v0.4.1551,prerelease,2026-09-17,vela-maps-v0.4.1551.apk,88
2026-09-19,v0.4.1561,prerelease,2026-09-17,vela-maps-v0.4.1561.apk,125
2026-09-19,v0.4.1604,prerelease,2026-09-18,vela-maps-v0.4.1604.apk,95
2026-09-19,v0.4.1633,prerelease,2026-09-18,vela-maps-v0.4.1633.apk,147
2026-09-21,v0.4.1270,stable,2026-09-14,vela-maps-v0.4.1270.apk,1650
2026-09-21,v0.4.1430,stable,2026-09-15,vela-maps-v0.4.1430.apk,2980
2026-09-21,v0.4.1502,prerelease,2026-09-16,vela-maps-v0.4.1502.apk,142
2026-09-21,v0.4.1551,prerelease,2026-09-17,vela-maps-v0.4.1551.apk,88
2026-09-21,v0.4.1561,prerelease,2026-09-17,vela-maps-v0.4.1561.apk,125
2026-09-21,v0.4.1604,prerelease,2026-09-18,vela-maps-v0.4.1604.apk,95
2026-09-21,v0.4.1633,prerelease,2026-09-18,vela-maps-v0.4.1633.apk,170
2026-09-21,v0.4.1715,prerelease,2026-09-19,vela-maps-v0.4.1715.apk,134
2026-09-21,v0.4.1732,prerelease,2026-09-20,vela-maps-v0.4.1732.apk,145
