snapshot,tag,asset,downloads
2026-09-21,poi-packs,italy.zip,120
2026-09-21,road-features,great-britain-england.bin,98
2026-09-21,poi-packs,germany.zip,96
2026-09-21,poi-packs,brazil.zip,79
2026-09-21,poi-packs,france.zip,76
2026-09-21,road-features,italy-nord-est.bin,71
2026-09-21,poi-packs,spain.zip,68
2026-09-21,road-features,new-jersey.bin,52
2026-09-21,road-features,de-baden-wuerttemberg.bin,47
2026-09-21,poi-packs,ontario.zip,47
2026-09-21,road-features,france-ile-de-france.bin,46
2026-09-21,road-features,de-nordrhein-westfalen.bin,42
2026-09-21,road-features,italy-centro.bin,42
2026-09-21,poi-packs,switzerland.zip,42
2026-09-21,road-features,new-york.bin,40
2026-09-21,road-features,ohio.bin,38
2026-09-21,poi-packs,virginia.zip,38
2026-09-21,road-features,de-bayern.bin,37
2026-09-21,road-features,illinois.bin,37
2026-09-21,road-features,maryland.bin,37
2026-09-21,road-features,italy-nord-ovest.bin,36
2026-09-21,poi-packs,great-britain.zip,35
2026-09-21,road-features,de-rheinland-pfalz.bin,34
2026-09-21,obf-regions,de-baden-wuerttemberg.obf,34
2026-09-21,poi-packs,india.zip,34
2026-09-21,poi-packs,netherlands.zip,33
2026-09-21,road-features,de-hessen.bin,31
2026-09-21,road-features,france-rhone-alpes.bin,31
2026-09-21,road-features,new-mexico.bin,31
2026-09-21,road-features,spain.bin,31
2026-09-21,obf-regions,de-bayern.obf,31
2026-09-21,obf-regions,district-of-columbia.obf,31
2026-09-21,road-features,france-alsace.bin,30
2026-09-21,road-features,greece.bin,30
2026-09-21,road-features,iran.bin,30
2026-09-21,poi-packs,new-york.zip,29
2026-09-21,poi-packs,washington.zip,28
2026-09-21,road-features,california-norcal.bin,27
2026-09-21,obf-regions,de-thueringen.obf,27
2026-09-21,poi-packs,pennsylvania.zip,27
2026-09-21,poi-packs,poland.zip,27
2026-09-21,poi-packs,portugal.zip,27
2026-09-21,poi-packs,greece.zip,26
2026-09-21,poi-packs,texas.zip,26
2026-09-21,road-features,georgia.bin,25
2026-09-21,road-features,spain-madrid.bin,25
2026-09-21,obf-regions,de-nordrhein-westfalen.obf,25
2026-09-21,obf-regions,de-rheinland-pfalz.obf,25
2026-09-21,poi-packs,austria.zip,25
2026-09-21,poi-packs,maryland.zip,25
2026-09-21,poi-packs,mexico.zip,25
2026-09-21,road-features,west-virginia.bin,24
2026-09-21,obf-regions,de-berlin.obf,24
2026-09-21,obf-regions,de-brandenburg.obf,24
2026-09-21,obf-regions,de-mecklenburg-vorpommern.obf,24
2026-09-21,obf-regions,de-niedersachsen.obf,24
2026-09-21,obf-regions,de-sachsen.obf,24
2026-09-21,obf-regions,de-schleswig-holstein.obf,24
2026-09-21,obf-regions,puerto-rico.obf,24
2026-09-21,obf-regions,us-virgin-islands.obf,24
2026-09-21,poi-packs,new-jersey.zip,24
2026-09-21,basemap-tiles,basemap-district-of-columbia.pmtiles,23
2026-09-21,road-features,california-socal.bin,23
2026-09-21,road-features,delaware.bin,23
2026-09-21,road-features,washington.bin,23
2026-09-21,obf-regions,de-bremen.obf,23
2026-09-21,obf-regions,de-hamburg.obf,23
2026-09-21,obf-regions,de-hessen.obf,23
2026-09-21,obf-regions,de-saarland.obf,23
2026-09-21,obf-regions,de-sachsen-anhalt.obf,23
2026-09-21,poi-packs,belgium.zip,23
2026-09-21,poi-packs,de-saarland.zip,23
2026-09-21,poi-packs,north-carolina.zip,23
2026-09-21,poi-packs,wisconsin.zip,23
2026-09-21,road-features,de-berlin.bin,22
2026-09-21,road-features,france-provence-alpes-cote-d-azur.bin,22
2026-09-21,road-features,hungary.bin,22
2026-09-21,road-features,pennsylvania.bin,22
2026-09-21,road-features,switzerland.bin,22
2026-09-21,poi-packs,alberta.zip,22
2026-09-21,poi-packs,australia.zip,22
2026-09-21,poi-packs,british-columbia.zip,22
2026-09-21,poi-packs,georgia.zip,22
2026-09-21,poi-packs,west-virginia.zip,22
2026-09-21,road-features,brazil-sul.bin,21
2026-09-21,road-features,india-southern-zone.bin,21
2026-09-21,road-features,netherlands-zuid-holland.bin,21
2026-09-21,road-features,tennessee.bin,21
2026-09-21,poi-packs,tennessee.zip,21
2026-09-21,road-features,brazil-sudeste.bin,20
2026-09-21,road-features,great-britain-wales.bin,20
2026-09-21,road-features,india-western-zone.bin,20
2026-09-21,road-features,spain-cataluna.bin,20
2026-09-21,road-features,wisconsin.bin,20
2026-09-21,road-features,bangladesh.bin,19
2026-09-21,road-features,florida.bin,19
2026-09-21,road-features,indiana.bin,19
2026-09-21,obf-regions,california-norcal.obf,19
2026-09-21,poi-packs,florida.zip,19
2026-09-21,poi-packs,illinois.zip,19
2026-09-21,poi-packs,quebec.zip,19
2026-09-21,road-features,bulgaria.bin,18
2026-09-21,road-features,colorado.bin,18
2026-09-21,road-features,denmark.bin,18
2026-09-21,road-features,india-northern-zone.bin,18
2026-09-21,road-features,michigan.bin,18
2026-09-21,road-features,poland-mazowieckie.bin,18
2026-09-21,obf-regions,texas.obf,18
2026-09-21,poi-packs,south-carolina.zip,18
2026-09-21,road-features,china.bin,17
2026-09-21,road-features,de-thueringen.bin,17
2026-09-21,road-features,district-of-columbia.bin,17
2026-09-21,road-features,france-franche-comte.bin,17
2026-09-21,road-features,france-pays-de-la-loire.bin,17
2026-09-21,road-features,malaysia-singapore-brunei.bin,17
2026-09-21,road-features,netherlands-limburg.bin,17
2026-09-21,road-features,north-carolina.bin,17
2026-09-21,obf-regions,california-socal.obf,17
2026-09-21,obf-regions,iran.obf,17
2026-09-21,poi-packs,ohio.zip,17
2026-09-21,poi-packs,romania.zip,17
2026-09-21,road-features,arizona.bin,16
2026-09-21,road-features,australia-new-south-wales.bin,16
2026-09-21,road-features,de-niedersachsen.bin,16
2026-09-21,obf-regions,france-ile-de-france.obf,16
2026-09-21,obf-regions,great-britain-england.obf,16
2026-09-21,obf-regions,italy-centro.obf,16
2026-09-21,poi-packs,delaware.zip,16
2026-09-21,basemap-tiles,basemap-puerto-rico.pmtiles,15
2026-09-21,road-features,central-fed-district.bin,15
2026-09-21,road-features,quebec.bin,15
2026-09-21,obf-regions,pennsylvania.obf,15
2026-09-21,obf-regions,spain-andalucia.obf,15
2026-09-21,poi-packs,japan.zip,15
2026-09-21,basemap-tiles,basemap-de-baden-wuerttemberg.pmtiles,14
2026-09-21,road-features,alabama.bin,14
2026-09-21,road-features,brazil-nordeste.bin,14
2026-09-21,road-features,finland.bin,14
2026-09-21,road-features,france-centre.bin,14
2026-09-21,road-features,mexico.bin,14
2026-09-21,road-features,nevada.bin,14
2026-09-21,road-features,sweden.bin,14
2026-09-21,road-features,texas.bin,14
2026-09-21,obf-regions,italy-nord-est.obf,14
2026-09-21,obf-regions,spain-cataluna.obf,14
2026-09-21,obf-regions,spain-madrid.obf,14
2026-09-21,obf-regions,spain-murcia.obf,14
2026-09-21,poi-packs,alabama.zip,14
2026-09-21,poi-packs,argentina.zip,14
2026-09-21,poi-packs,california.zip,14
2026-09-21,poi-packs,finland.zip,14
2026-09-21,poi-packs,hungary.zip,14
2026-09-21,poi-packs,michigan.zip,14
2026-09-21,basemap-tiles,basemap-de-bayern.pmtiles,13
2026-09-21,basemap-tiles,basemap-delaware.pmtiles,13
2026-09-21,basemap-tiles,basemap-france-alsace.pmtiles,13
2026-09-21,basemap-tiles,basemap-us-virgin-islands.pmtiles,13
2026-09-21,basemap-tiles,basemap-world.pmtiles,13
2026-09-21,road-features,france-basse-normandie.bin,13
2026-09-21,road-features,italy-sud.bin,13
2026-09-21,road-features,slovenia.bin,13
2026-09-21,road-features,south-carolina.bin,13
2026-09-21,road-features,spain-andalucia.bin,13
2026-09-21,obf-regions,france-rhone-alpes.obf,13
